Temp_C,Rel Hum_%,Press_kPa,Wind Speed_km/h,weather
1.5,91,101.91,7,Rainy
1.2,92,101.98,7,Foggy
1.4,90,101.97,7,Foggy
0.8,92,101.96,9,Foggy
1.1,89,102,7,Cloudy
0.7,90,101.97,4,Cloudy
0.7,90,101.94,6,Cloudy
0.9,89,101.94,7,Cloudy
0.7,89,101.92,4,Cloudy
1.3,85,101.93,6,Cloudy
1.7,83,101.96,7,Cloudy
1.2,84,101.95,7,Cloudy
1.8,80,101.91,0,Cloudy
3.3,68,101.76,11,Cloudy
3.6,62,101.65,19,Cloudy
3.3,65,101.53,19,Cloudy
3.5,64,101.39,19,Cloudy
3.6,63,101.29,19,Cloudy
3.7,64,101.22,15,Cloudy
3.6,63,101.17,15,Cloudy
3,69,101.13,19,Rainy
2.5,75,101.02,17,Rainy
1.7,84,100.94,17,Rainy
1.5,87,100.88,15,Rainy
1.5,86,100.8,17,Rainy
1.3,89,100.71,19,Rainy
1.3,89,100.64,19,Rainy
1.3,90,100.57,19,Rainy
1.3,92,100.5,17,Rainy
1.4,92,100.45,19,Rainy
2.8,92,100.49,24,Cloudy
3,86,100.54,30,Cloudy
3,79,100.58,24,Cloudy
2.8,75,100.67,32,Cloudy
2.3,71,100.74,32,Cloudy
2.5,67,100.76,41,Cloudy
2.6,62,100.77,32,Cloudy
2.6,61,100.71,24,Cloudy
3,59,100.66,22,Cloudy
3.5,53,100.62,28,Cloudy
3,58,100.63,30,Cloudy
3.1,56,100.64,26,Cloudy
2.6,62,100.66,26,Cloudy
2.3,64,100.69,22,Cloudy
2,67,100.68,28,Cloudy
1.8,68,100.68,24,Cloudy
1.7,68,100.7,19,Cloudy
0.3,69,100.72,26,Cloudy
-0.3,71,100.74,22,Cloudy
-0.6,72,100.79,19,Cloudy
-0.2,70,100.82,20,Cloudy
-0.6,71,100.84,24,Cloudy
-0.6,70,100.85,19,Cloudy
0.1,67,100.83,24,Cloudy
0.5,66,100.81,17,Cloudy
1.1,60,100.75,15,Cloudy
1.8,56,100.7,20,Cloudy
1.2,61,100.7,15,Cloudy
1.5,58,100.71,19,Cloudy
1.5,56,100.73,19,Cloudy
1,59,100.78,13,Cloudy
0.8,56,100.88,15,Cloudy
-5.8,73,101.57,7,Cloudy
-5.2,71,101.59,9,Cloudy
-4.7,68,101.59,15,Cloudy
-4,68,101.59,17,Cloudy
-8.7,65,102.04,6,Cloudy
-8,64,102.07,9,Cloudy
-7.1,61,102.09,9,Cloudy
-6,62,102.1,11,Cloudy
-4.7,58,102.08,20,Cloudy
-2,56,102.07,19,Cloudy
-5,78,101.98,7,Cloudy
-3.1,73,101.87,9,Cloudy
-1.4,66,101.72,11,Cloudy
-0.1,63,101.55,15,Cloudy
0,60,101.38,19,Cloudy
1,59,101.19,24,Cloudy
1.9,55,100.95,22,Cloudy
2.2,55,100.82,19,Cloudy
2,56,100.66,17,Cloudy
2.2,53,100.59,9,Cloudy
1.9,55,100.54,9,Cloudy
2.1,53,100.5,0,Cloudy
-0.2,71,100.43,4,Cloudy
-0.5,72,100.4,6,Cloudy
0.5,70,100.2,0,Cloudy
1.3,82,99.77,20,Rainy
1.2,85,99.68,15,Rainy
1.4,87,99.64,15,Rainy
1.5,88,99.59,13,Rainy
1.6,90,99.57,15,Rainy
2.6,89,99.57,17,Rainy
2.9,85,99.57,26,Cloudy
4,82,99.54,28,Cloudy
4.6,74,99.56,26,Cloudy
5.2,66,99.52,28,Cloudy
5.8,61,99.4,22,Cloudy
6.1,59,99.32,17,Cloudy
5.4,62,99.3,28,Rainy
2.6,84,99.29,19,Cloudy
2.4,83,99.33,9,Cloudy
1.6,84,99.32,13,Cloudy
2.3,79,99.33,15,Cloudy
2.7,78,99.26,15,Cloudy
2.6,77,99.27,13,Cloudy
2.3,79,99.23,20,Rainy
1.7,82,99.18,11,Cloudy
0.5,90,99.13,4,Foggy
0.4,90,99.11,4,Foggy
0.5,89,99.16,9,Foggy
0.6,89,99.2,7,Foggy
1.1,81,99.32,17,Cloudy
2.3,74,99.42,22,Cloudy
2.1,73,99.47,20,Cloudy
1.9,76,99.6,22,Cloudy
2.7,70,99.7,22,Cloudy
2.3,64,99.82,24,Cloudy
-2.8,85,100.31,0,Cloudy
-3.1,86,100.29,0,Cloudy
-3,85,100.26,6,Cloudy
-1.3,83,100.21,11,Cloudy
-0.7,81,100.21,9,Cloudy
0.3,77,100.27,7,Cloudy
0.7,76,100.25,9,Cloudy
0.9,74,100.13,15,Cloudy
1.1,72,99.91,20,Cloudy
1,72,99.75,20,Cloudy
0.6,90,98.55,19,Rainy
0.8,91,98.39,17,Cloudy
1,89,98.29,11,Rainy
0.8,90,98.18,15,Rainy
-3.2,67,99.59,24,Cloudy
-3.6,66,99.8,30,Cloudy
-4.7,64,100.04,35,Cloudy
-5.3,63,100.24,26,Cloudy
-5.6,65,100.42,32,Cloudy
-6.6,61,100.62,28,Cloudy
-7.6,61,100.76,26,Cloudy
-8.3,62,100.89,19,Cloudy
-10.8,69,101.6,30,Cloudy
-7.6,46,102.55,24,Cloudy
-7.9,49,102.6,19,Cloudy
-7.8,48,102.63,13,Cloudy
-7.9,50,102.64,11,Cloudy
-8.5,52,102.72,9,Cloudy
-8.6,53,102.68,0,Cloudy
-9.5,58,102.64,0,Cloudy
-8.2,52,102.63,7,Cloudy
-8.6,57,102.61,4,Cloudy
-8.5,63,102.6,13,Cloudy
-8.3,65,102.59,9,Cloudy
-8.2,61,102.58,9,Cloudy
-8.4,58,102.54,13,Cloudy
-9,61,102.42,17,Cloudy
-9.4,66,102.31,20,Cloudy
-9.8,67,102.25,19,Cloudy
-9.4,64,102.1,22,Cloudy
-8.7,62,101.94,22,Cloudy
-8.7,64,101.74,28,Cloudy
-6.3,60,101.59,15,Cloudy
-4.9,59,101.41,19,Cloudy
-5.5,63,101.34,22,Cloudy
-5.2,81,101.01,20,Cloudy
-6.3,82,101.1,24,Cloudy
-5.9,83,101.66,9,Cloudy
-5.5,81,101.82,15,Cloudy
-4.8,57,102.58,15,Cloudy
-4.2,55,102.58,19,Cloudy
-4.3,53,102.54,17,Cloudy
-10.6,78,102.44,11,Cloudy
-8.5,74,102.36,11,Cloudy
-6.6,68,102.3,17,Cloudy
-4.7,54,102.24,15,Cloudy
-3.9,52,102.08,17,Cloudy
-2.9,54,101.99,11,Cloudy
-2.9,51,101.89,13,Cloudy
-3.1,52,101.81,20,Cloudy
-3.6,56,101.72,26,Cloudy
-4.1,54,101.6,28,Cloudy
-4.7,53,101.54,28,Cloudy
-4.6,51,101.46,30,Cloudy
-4.5,51,101.42,30,Cloudy
-4.6,53,101.23,26,Cloudy
-5.7,79,101.17,22,Cloudy
-4.1,86,101.03,15,Foggy
-3.3,83,100.98,15,Cloudy
-2.9,83,100.93,15,Cloudy
-2.7,84,100.89,15,Cloudy
-2.4,84,100.81,20,Cloudy
-1.8,84,100.75,17,Cloudy
-2.3,84,100.74,15,Cloudy
-1.4,82,100.62,15,Cloudy
0.2,72,100.49,13,Cloudy
0.5,74,100.29,17,Cloudy
1,73,100.12,22,Cloudy
0.8,85,99.18,41,Cloudy
2,77,98.89,41,Cloudy
2.7,74,98.79,32,Cloudy
3,75,98.7,37,Cloudy
3.7,79,98.86,15,Cloudy
4,71,98.82,32,Rainy
5.2,55,98.82,37,Cloudy
5.8,49,98.73,50,Cloudy
6.5,42,98.68,48,Cloudy
5.3,45,98.67,57,Cloudy
3.7,56,98.82,48,Cloudy
0.5,68,99.34,32,Cloudy
-0.8,68,99.46,24,Cloudy
-1.8,64,99.56,26,Cloudy
-2.1,63,99.63,19,Cloudy
-2.9,63,99.7,20,Cloudy
-4.3,62,99.77,19,Cloudy
-4.8,59,99.84,17,Cloudy
-5.7,58,99.88,22,Cloudy
-5.9,54,99.97,13,Cloudy
-6.3,57,99.95,15,Cloudy
-6.3,57,99.95,17,Cloudy
-6.5,55,99.96,17,Cloudy
-5.8,57,99.95,19,Cloudy
-5.7,55,99.9,19,Cloudy
-5.6,54,99.9,22,Cloudy
-7.9,54,100.09,22,Cloudy
-8.5,61,100.13,24,Cloudy
-10.1,65,100.21,17,Cloudy
-11.1,65,100.23,24,Cloudy
-16.2,58,100.77,26,Cloudy
-16.2,59,100.88,22,Cloudy
-15.7,56,101,24,Cloudy
-15.1,55,101.11,24,Cloudy
-14.4,55,101.21,26,Cloudy
-13.4,54,101.31,26,Cloudy
-12.2,53,101.39,6,Cloudy
-11.3,51,101.46,24,Cloudy
-10.8,47,101.55,28,Cloudy
-10,49,101.64,30,Cloudy
-9.9,48,101.73,26,Cloudy
-5.4,53,102.81,11,Cloudy
-5.4,49,102.69,9,Cloudy
-5,45,102.59,9,Cloudy
-4.5,41,102.55,6,Cloudy
-3.6,47,102.44,6,Cloudy
-3.9,56,102.46,9,Cloudy
-5.7,62,102.37,17,Cloudy
-5.3,61,102.22,13,Cloudy
-5.2,63,102.16,15,Cloudy
-5.3,63,102.13,17,Cloudy
-4.3,63,101.98,15,Cloudy
-3.9,67,101.92,11,Cloudy
-4.6,69,101.91,11,Cloudy
11.4,38,101.31,15,Cloudy
9.9,44,101.25,9,Cloudy
6,57,101.22,11,Cloudy
7.6,50,101.18,20,Cloudy
